Date,Price,Open,High,Low,Close
2014-09-17,,465.86,468.17,452.42,457.33
2014-09-18,,456.86,456.86,413.1,424.44
2014-09-19,,424.1,427.83,384.53,394.8
2014-09-20,,394.67,423.3,389.88,408.9
2014-09-21,,408.08,412.43,393.18,398.82
2014-09-22,,399.1,406.92,397.13,402.15
2014-09-23,,402.09,441.56,396.2,435.79
2014-09-24,,435.75,436.11,421.13,423.2
2014-09-25,,423.16,423.52,409.47,411.57
2014-09-26,,411.43,414.94,400.01,404.42
2014-09-27,,403.56,406.62,397.37,399.52
2014-09-28,,399.47,401.02,374.33,377.18
2014-09-29,,376.93,385.21,372.24,375.47
2014-09-30,,376.09,390.98,373.44,386.94
2014-10-01,,387.43,391.38,380.78,383.61
2014-10-02,,383.99,385.5,372.95,375.07
2014-10-03,,375.18,377.7,357.86,359.51
2014-10-04,,359.89,364.49,325.89,328.87
2014-10-05,,328.92,341.8,289.3,320.51
2014-10-06,,320.39,345.13,302.56,330.08
2014-10-07,,330.58,339.25,320.48,336.19
2014-10-08,,336.12,354.36,327.19,352.94
2014-10-09,,352.75,382.73,347.69,365.03
2014-10-10,,364.69,375.07,352.96,361.56
2014-10-11,,361.36,367.19,355.95,362.3
2014-10-12,,362.61,379.43,356.14,378.55
2014-10-13,,377.92,397.23,368.9,390.41
2014-10-14,,391.69,411.7,391.32,400.87
2014-10-15,,400.95,402.23,388.77,394.77
2014-10-16,,394.52,398.81,373.07,382.56
2014-10-17,,382.76,385.48,375.39,383.76
2014-10-18,,383.98,395.16,378.97,391.44
2014-10-19,,391.25,393.94,386.46,389.55
2014-10-20,,389.23,390.08,378.25,382.85
2014-10-21,,382.42,392.65,380.83,386.48
2014-10-22,,386.12,388.58,382.25,383.16
2014-10-23,,382.96,385.05,356.45,358.42
2014-10-24,,358.59,364.35,353.3,358.35
2014-10-25,,358.61,359.86,342.88,347.27
2014-10-26,,347.49,359.22,343.93,354.7
2014-10-27,,354.78,358.63,349.81,352.99
2014-10-28,,353.21,359.98,352.68,357.62
2014-10-29,,357.09,357.83,335.34,335.59
2014-10-30,,335.71,350.91,335.07,345.3
2014-10-31,,345.01,348.05,337.14,338.32
2014-11-01,,338.65,340.53,321.05,325.75
2014-11-02,,326.08,329.05,320.63,325.89
2014-11-03,,325.57,334.0,325.48,327.55
2014-11-04,,327.16,331.77,325.08,330.49
2014-11-05,,330.68,343.37,330.68,339.49
2014-11-06,,339.46,352.97,338.42,349.29
2014-11-07,,349.82,352.73,341.78,342.42
2014-11-08,,342.15,347.03,342.15,345.49
2014-11-09,,345.38,363.63,344.26,363.26
2014-11-10,,362.27,374.82,357.56,366.92
2014-11-11,,365.86,371.31,363.73,367.7
2014-11-12,,367.98,429.72,367.98,423.56
2014-11-13,,427.27,457.09,401.12,420.73
2014-11-14,,418.42,419.25,384.79,397.82
2014-11-15,,399.65,405.53,371.01,376.13
2014-11-16,,374.73,390.8,374.6,387.88
2014-11-17,,388.35,410.2,377.5,387.41
2014-11-18,,387.79,392.4,371.12,375.2
2014-11-19,,373.9,386.48,373.9,380.55
2014-11-20,,380.31,382.02,356.78,357.84
2014-11-21,,357.88,357.88,344.11,350.85
2014-11-22,,351.6,364.84,350.88,352.92
2014-11-23,,353.17,370.85,353.17,367.57
2014-11-24,,366.95,387.21,366.67,376.9
2014-11-25,,376.89,394.7,374.78,375.35
2014-11-26,,376.02,377.7,365.82,368.37
2014-11-27,,370.5,373.99,368.28,369.67
2014-11-28,,369.37,382.84,358.45,376.45
2014-11-29,,376.15,387.6,372.14,375.49
2014-11-30,,375.51,382.53,373.31,378.05
2014-12-01,,378.25,383.66,376.67,379.24
2014-12-02,,379.25,384.04,377.86,381.32
2014-12-03,,381.72,383.03,374.35,375.01
2014-12-04,,375.72,378.65,367.76,369.6
2014-12-05,,369.44,379.19,365.76,376.85
2014-12-06,,376.76,378.45,370.95,374.79
2014-12-07,,374.84,376.29,373.27,375.1
2014-12-08,,374.96,376.03,361.89,361.91
2014-12-09,,361.89,363.07,344.95,352.22
2014-12-10,,352.2,352.38,346.36,346.36
2014-12-11,,344.34,361.36,338.76,350.51
2014-12-12,,350.83,352.98,349.29,352.54
2014-12-13,,352.38,352.38,346.59,347.38
2014-12-14,,346.73,353.32,345.42,351.63
2014-12-15,,351.36,351.82,344.93,345.35
2014-12-16,,345.67,345.86,327.06,327.06
2014-12-17,,326.86,333.95,315.15,319.78
2014-12-18,,319.79,323.71,304.23,311.4
2014-12-19,,311.18,318.53,306.77,317.84
2014-12-20,,317.62,330.33,316.04,329.96
2014-12-21,,329.54,329.63,318.9,320.84
2014-12-22,,321.07,334.12,320.42,331.89
2014-12-23,,332.02,336.29,329.6,334.57
2014-12-24,,334.39,334.74,321.36,322.53
2014-12-25,,322.29,322.67,316.96,319.01
2014-12-26,,319.15,331.42,316.63,327.92
2014-12-27,,327.58,328.91,312.63,315.86
2014-12-28,,316.16,320.03,311.08,317.24
2014-12-29,,317.7,320.27,312.31,312.67
2014-12-30,,312.72,314.81,309.37,310.74
2014-12-31,,310.91,320.19,310.21,320.19
2015-01-01,,320.43,320.43,314.0,314.25
2015-01-02,,314.08,315.84,313.57,315.03
2015-01-03,,314.85,315.15,281.08,281.08
2015-01-04,,281.15,287.23,257.61,264.2
2015-01-05,,265.08,278.34,265.08,274.47
2015-01-06,,274.61,287.55,272.7,286.19
2015-01-07,,286.08,298.75,283.08,294.34
2015-01-08,,294.14,294.14,282.17,283.35
2015-01-09,,282.38,291.11,280.53,290.41
2015-01-10,,287.3,288.13,273.97,274.8
2015-01-11,,274.61,279.64,265.04,265.66
2015-01-12,,266.15,272.2,265.2,267.8
2015-01-13,,267.39,268.28,219.91,225.86
2015-01-14,,223.89,223.89,171.51,178.1
2015-01-15,,176.9,229.07,176.9,209.84
2015-01-16,,209.07,221.59,199.77,208.1
2015-01-17,,207.83,211.73,194.88,199.26
2015-01-18,,200.05,218.7,194.51,210.34
2015-01-19,,211.47,216.73,207.32,214.86
2015-01-20,,212.91,215.24,205.15,211.32
2015-01-21,,211.38,227.79,211.21,226.9
2015-01-22,,227.32,237.02,226.43,233.41
2015-01-23,,233.52,234.85,225.2,232.88
2015-01-24,,232.7,248.21,230.02,247.85
2015-01-25,,247.35,255.07,243.89,253.72
2015-01-26,,254.08,309.38,254.08,273.47
2015-01-27,,273.17,275.48,250.65,263.48
2015-01-28,,263.35,266.54,227.05,233.91
2015-01-29,,233.35,238.71,220.71,233.51
2015-01-30,,232.77,242.85,225.84,226.43
2015-01-31,,226.44,233.5,216.31,217.46
2015-02-01,,216.87,231.57,212.01,226.97
2015-02-02,,226.49,242.18,222.66,238.23
2015-02-03,,237.45,245.96,224.48,227.27
2015-02-04,,227.51,230.06,221.11,226.85
2015-02-05,,227.66,239.4,214.73,217.11
2015-02-06,,216.92,230.51,216.23,222.27
2015-02-07,,222.63,230.3,222.61,227.75
2015-02-08,,227.69,229.44,221.08,223.41
2015-02-09,,223.39,223.98,217.02,220.11
2015-02-10,,220.28,221.81,215.33,219.84
2015-02-11,,219.73,223.41,218.07,219.18
2015-02-12,,219.21,222.2,217.61,221.76
2015-02-13,,221.97,240.26,221.26,235.43
2015-02-14,,235.53,259.81,235.53,257.32
2015-02-15,,257.51,265.61,227.68,234.82
2015-02-16,,234.82,239.52,229.02,233.84
2015-02-17,,233.42,245.77,232.31,243.61
2015-02-18,,243.78,244.25,232.34,236.33
2015-02-19,,236.41,242.67,235.59,240.28
2015-02-20,,240.25,247.1,239.3,243.78
2015-02-21,,243.75,255.32,243.18,244.53
2015-02-22,,244.54,246.39,233.85,235.98
2015-02-23,,235.99,240.11,232.42,238.89
2015-02-24,,239.0,239.9,236.4,238.74
2015-02-25,,238.89,239.34,235.53,237.47
2015-02-26,,237.34,237.71,234.26,236.43
2015-02-27,,236.44,256.65,236.44,253.83
2015-02-28,,253.52,254.69,249.48,254.26
2015-03-01,,254.28,261.66,245.93,260.2
2015-03-02,,260.36,276.3,258.31,275.67
2015-03-03,,275.05,285.8,268.16,281.7
2015-03-04,,281.99,284.23,268.13,273.09
2015-03-05,,272.74,281.67,264.77,276.18
2015-03-06,,275.6,277.61,270.02,272.72
2015-03-07,,272.29,277.85,270.13,276.26
2015-03-08,,276.43,277.86,272.57,274.35
